Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Crandall	Terry Lawrence		C	CA47	2024	2/8/2024	10056748
	Crane	Elenore Casey		X	NH02	2024	6/26/2024	30022334
	Crane	Mike		C	GA03	2024	2/9/2024	10056756
Mr.	Crank	Jeff		C	CO05	2024	5/13/2024	10060579
	Craven	Michael Andrew		D	KY03	2024	4/17/2024	8220215
	Criswell	Jefferson Edward		C	GA06	2024	5/20/2024	10060096
	Crnkovich	Karen		C	KS03	2024	5/20/2024	10061932
	Cruz	Ginger		C	GU00	2024	7/1/2024	10057009
	Cruz	Ginger		X	GU00	2024	5/14/2024	30021425
Mr.	Cruz	Jerico Matias		C	IL05	2024	5/15/2024	10061518
Mr.	Cruz	Jerico Matias		X	IL05	2024	5/17/2024	30021943
	Cruz	Kimberly		W	NY06	2024	5/28/2024	7983
Mr.	Cuddy	Dave		C	TX35	2024	1/31/2024	8220148
	Cunningham	Candace L.		D	AZ03	2024	1/16/2024	40003584
Mrs.	Currey-Marsella	Renee Antoinette		C	FL14	2024	5/14/2024	10058808
	Dacosta Fasciglione	Joy		W	NY19	2024	6/6/2024	7985
	Dahan	Liz		C	FL13	2024	6/27/2024	10058998
	Dahan	Liz		X	FL13	2024	5/8/2024	30021135
	Dahlin	Kathryn W.		C	UT03	2024	3/27/2024	10056930
	Dahlstrom	Nancy		C	AK00	2024	4/30/2024	10059429
	Daughtry	Kelly		C	NC13	2024	2/2/2024	8220124
	Davey	Michael		X	FL27	2024	5/15/2024	8220344
	Davie	Matthew		C	OR05	2024	2/27/2024	10056831
	Davis	Lawrence John		C	CO01	2024	4/3/2024	10056961
	Davis	Thomas Eugene		A	TN04	2024	7/1/2024	10062376
	Davis	Thomas Eugene		C	TN04	2024	6/30/2024	10060974
	Davis	Thomas Eugene		X	TN04	2024	5/17/2024	30021669
	Daza-Fernandez	Antonio Miguel		C	GA11	2024	5/15/2024	10060242
	De Franceschi	Vladimir		C	TX26	2024	2/4/2024	10056698
	De Franceschi	Vladimir		X	TX26	2024	2/9/2024	8220138
	Deford	William Mac		C	SC01	2024	5/15/2024	10061611
	Delaney	April McClain		X	MD06	2024	5/14/2024	30021222
Hon.	DelBene	Suzan K.		P	WA01	2024	1/22/2024	20024317
Hon.	DelBene	Suzan K.		P	WA01	2024	2/5/2024	20024425
Hon.	DelBene	Suzan K.		P	WA01	2024	2/21/2024	20024495
Hon.	DelBene	Suzan K.		P	WA01	2024	3/8/2024	20024581
Hon.	DelBene	Suzan K.		P	WA01	2024	6/10/2024	20025178
Hon.	DelBene	Suzan K.		P	WA01	2024	6/20/2024	20025312
	Denton	Jake		C	VA02	2024	5/19/2024	10056774
	Denton	Jake		X	VA02	2024	2/21/2024	30019605
	DeSpain	Monique		C	OR04	2024	5/2/2024	10057767
	Deters	Eric		C	KY04	2024	3/5/2024	10056867
	Deters	Eric		X	KY04	2024	2/7/2024	30019583
	Devoe	Marion		A	VA10	2024	3/26/2024	10056935
	Devoe	Marion		A	VA10	2024	4/14/2024	10057008
	Devoe	Marion		C	VA10	2024	1/28/2024	10056670
	Devoe	Marion		D	VA10	2024	2/1/2024	8220153
	Dexter	Maxine		X	OR03	2024	5/17/2024	30022005
	Dickson	Gary A.		C	NY26	2024	5/15/2024	10061396
	Diehl	Abigdail		O	MD03	2024	4/12/2024	8220216
	Dimmock	Aaron		C	FL01	2024	5/13/2024	10060703
Hon.	Dingell	Debbie		P	MI06	2024	2/15/2024	20024270
Hon.	Dingell	Debbie		P	MI06	2024	5/16/2024	20025056
Hon.	Dingell	Debbie		P	MI06	2024	6/24/2024	20025306
	Dixon	Peter		W	CA16	2024	4/23/2024	7941
	Dobson	Caroleene		X	AL02	2024	5/14/2024	30021507
Hon.	Doggett	Lloyd		P	TX37	2024	1/8/2024	20024268
Hon.	Doggett	Lloyd		P	TX37	2024	3/5/2024	20024611
Hon.	Doggett	Lloyd		P	TX37	2024	4/9/2024	20024839
Hon.	Doggett	Lloyd		P	TX37	2024	5/6/2024	20024997
Hon.	Doggett	Lloyd		P	TX37	2024	6/5/2024	20025202
Hon.	Doggett	Lloyd		P	TX37	2024	7/3/2024	20025397
	Doherty	Alexandra Jane		C	GA10	2024	5/14/2024	8220321
	Donnelly	Ryan		C	NH02	2024	5/1/2024	10059489
	Donnelly	Ryan		W		2024		8220308
	Dorris	Clint		W	TX12	2024	4/18/2024	7932
	Dougall	John		C	UT03	2024	3/21/2024	10056759
Dr.	Douglass	Eugene Farley		C	NC02	2024	4/18/2024	10057739
	Downing	Troy		C	MT02	2024	5/14/2024	10060588
	Draves	Mary Frances		C	MI08	2024	6/14/2024	10059957
	Draves	Mary Frances		X	MI08	2024	5/17/2024	30021673
	Dudley	Stephen Paul		C	TX14	2024	2/13/2024	10056772
Hon.	Duncan	Jeff		G	SC03	2024	6/18/2024	8220520
Hon.	Duncan	Jeff		P	SC03	2024	5/23/2024	20000788
	Dunlap	Harry William		C	FL12	2024	5/11/2024	10056865
	Dunn	Harry		C	MD03	2024	4/13/2024	10056829
Hon.	Dunn, MD, FACS	Neal Patrick		P	FL02	2024	5/22/2024	20025104
	Edwards	Amanda		W	TX18	2024	4/18/2024	7929
Dr.	Edwards	Dana Phillip		X	KY05	2024	5/15/2024	8220351
	Ehasz	Ashley		C	PA01	2024	4/30/2024	10059070
Mr.	Ehr	Phil Charles		C	FL28	2024	6/17/2024	10061824
Mr.	Ehr	Phillip Charles		X	FL28	2024	5/17/2024	30022167
	Ekpete Kama	Uloma		A	LA02	2024	6/10/2024	10062183
	Ekpete Kama	Uloma		A	LA02	2024	6/11/2024	10062185
	Ekpete Kama	Uloma		C	LA02	2024	6/10/2024	10062182
Dr.	Ekpete Kama	Uloma Keysha		C	GA13	2024	3/22/2024	10056920
	Elfreth	Sarah Kelly		C	MD03	2024	6/14/2024	10062279
Mr.	Eller	Charles ivey		C	NC10	2024	1/29/2024	10056678
	Engel	Kirsten		X	AZ06	2024	4/30/2024	30020948
	Engling	Max		X	IN05	2024	5/17/2024	30021737
	Erickson	Mike		C	OR06	2024	4/3/2024	10056818
	Esposito	Alison		C	NY18	2024	5/11/2024	10060573
	Estrada	Rafael		W	IL17	2024	5/6/2024	7955
	Etchison	Shelane		X	NC09	2024	5/17/2024	30022164
Hon.	Evans	Dwight		P	PA03	2024	1/17/2024	20024324
	Evans	Jerry		C	IL11	2024	5/15/2024	10061410
	Evans	Timothy Gabriel Joseph		C	CO08	2024	5/10/2024	10060509
	Fallick-Wang	Katrina		D	UT04	2024	1/23/2024	40003591
Dr.	Faparusi	Yomi Fapas		C	TN05	2024	6/9/2024	10062167
Dr.	Farber	Stuart		W	FL09	2024	5/17/2024	7977
	Farber	Stuart Dr		W	FL09	2024	5/10/2024	7959
	Farnham	Elizabeth Rhoads		C	PA13	2024	5/6/2024	10057760
	Fedorchak	Julie		C	ND00	2024	5/12/2024	10056853
Mr.	Fegler	Scott Michael		C	NJ06	2024	5/3/2024	10056962
	Ferguson	Rodney Stuart		C	VA10	2024	4/5/2024	10056959
	Fernandez	Hilsia Tatiana		C	FL07	2024	5/6/2024	10059854
	Fields	Cleo		X	LA06	2024	5/17/2024	30021885
	Figures	Shomari C.		C	AL02	2024	5/16/2024	10061872
	Filler	Peter Steven		C	TX02	2024	5/14/2024	10061263
	Filler-Corn	Eileen		X	VA10	2024	5/14/2024	30021412
	Finzer	Rylan Zachary		C	OH06	2024	3/5/2024	10056868
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	2/9/2024	8220147
Hon.	Fleischmann	Charles J. "Chuck"		P	TN03	2024	5/15/2024	8220317
	Flora	Deborah		X	CO04	2024	4/30/2024	30020957
	Flora	John		D	NJ10	2024	6/12/2024	40003669
Hon.	Flores	Mayra Nohemi		X	TX34	2024	5/8/2024	30021082
	Focht	Cyril Jason		C	TN06	2024	5/13/2024	10060214
	Fong	Vince		X	CA20	2024	4/30/2024	30020884
	Fore	Jessica Allison		C	GA10	2024	5/15/2024	10057717
	Forte	Tina		C	NY14	2024	5/6/2024	10059921
Hon.	Foxx	Virginia		P	NC05	2024	1/4/2024	20024230
Hon.	Foxx	Virginia		P	NC05	2024	2/5/2024	20024424
Hon.	Foxx	Virginia		P	NC05	2024	3/7/2024	20024596
Hon.	Foxx	Virginia		P	NC05	2024	4/10/2024	20024825
Hon.	Foxx	Virginia		P	NC05	2024	5/6/2024	20024996
Hon.	Foxx	Virginia		P	NC05	2024	6/6/2024	20025200
	Frangie	Charles		C	MI11	2024	5/26/2024	10061980
Hon.	Frankel	Lois		P	FL22	2024	5/14/2024	20025035
Hon.	Franklin	C. Scott		P	FL18	2024	4/23/2024	20024916
Hon.	Franklin	C. Scott		P	FL18	2024	6/2/2024	20025170
	Franks	Trent		C	AZ08	2024	6/15/2024	8220513
	Franz	Hilary		C	WA06	2024	5/15/2024	10060601
	Franzese	Daniel John		A	FL22	2024	6/9/2024	10062168
	Franzese	Daniel John		C	FL22	2024	6/8/2024	10060159
	Franzese	Daniel John		X	FL22	2024	5/14/2024	30021299
	Frascone	Anthony		D	NY17	2024	5/14/2024	8220323
	Fratto	John Robert		C	FL26	2024	6/17/2024	8220514
	Fratto	Mario		C	NY24	2024	5/15/2024	10061568
	Freeman	Sean		C	OH11	2024	5/12/2024	10060664
	Friedman	Laura		X	CA30	2024	5/14/2024	30021196
	Frisch	Adam		X	CO03	2024	4/23/2024	30019828
	Fulton	Seth		W	TN02	2024	5/23/2024	7980
	Furman	Jay Commander		X	TX28	2024	5/15/2024	8220358
	Galan-Woods	Marlene		C	AZ01	2024	6/29/2024	10059057
	Galan-Woods	Marlene		X	AZ01	2024	4/30/2024	30020903
Hon.	Gallagher	Michael John		X	WI08	2024	4/26/2024	30020952
Hon.	Garcia	Michael		P	CA27	2024	3/12/2024	20024673
Mr.	Garza	Mauro Everett		C	TX34	2024	5/14/2024	10061162
	Gaughran	James F.		W	NY01	2024	5/13/2024	7960
	Gehrig	Sebastian Kenneth		D	TX12	2024	5/16/2024	40003654
	Genant	Pamela		C	NC14	2024	5/16/2024	10061876
	George	Kimberly		C	AZ01	2024	6/30/2024	10061390
	George	Kimberly		X	AZ01	2024	5/17/2024	30021924
	Ghanim	Ahmed		A	MI11	2024	7/3/2024	10062393
	Ghanim	Ahmed		C	MI11	2024	7/2/2024	10062073
	Ghanim	Ahmed		D	MI11	2024	5/31/2024	8220501
	Ghanim	Ahmed		D	MI11	2024	6/3/2024	40003663
	Ghanim	Ahmed		X	MI11	2024	6/12/2024	30022274
	Giles	David Victor		C	AZ04	2024	5/11/2024	10060594
	Gill	Brandon		X	TX26	2024	5/14/2024	30021563
Mr.	Gillan	Dennis Martin		W	SC04	2024	4/10/2024	7925
	Gillen	Laura		C	NY04	2024	6/13/2024	10059315
	Gillen	Laura		X	NY04	2024	4/30/2024	30020989
	Godfrey	Darryl		C	NJ10	2024	6/17/2024	10062271
	Goldman	Craig		C	TX12	2024	5/15/2024	10061257
	Goldman	Craig		X	TX12	2024	5/17/2024	30021808
	Gomes	Joseph		D	MD04	2024	5/7/2024	8220319
Hon.	Gonzalez Colon	Jenniffer		G	PR00	2024	6/18/2024	8220521
	Goodlander	Maggie		X	NH02	2024	5/17/2024	30021802
	Goroff	Nancy		X	NY01	2024	4/30/2024	30020919
Hon.	Gottheimer	Josh		P	NJ05	2024	1/7/2024	20024248
Hon.	Gottheimer	Josh		P	NJ05	2024	2/15/2024	20024461
Hon.	Gottheimer	Josh		P	NJ05	2024	3/7/2024	20024612
Hon.	Gottheimer	Josh		P	NJ05	2024	4/7/2024	20024801
Hon.	Gottheimer	Josh		P	NJ05	2024	5/15/2024	20025020
Hon.	Gottheimer	Josh		P	NJ05	2024	6/8/2024	20025207
	Gowett	Christopher James		C	NY22	2024	5/6/2024	10059809
	Granado	Joseph L.		W		2024		8220502
	Grandon	Rod		W		2024		8220210
Hon.	Graves	Garret		P	LA06	2024	2/15/2024	20024517
	Gray	Adam C.		X	CA13	2024	5/8/2024	8220263
Hon.	Green	Al		G	TX09	2024	3/20/2024	8220183
Hon.	Green	Mark Dr		P	TN07	2024	1/17/2024	20024062
Hon.	Green	Mark Dr		P	TN07	2024	2/1/2024	20024413
Hon.	Green	Mark Dr		P	TN07	2024	2/29/2024	20024572
Hon.	Green	Mark Dr		P	TN07	2024	3/13/2024	20024677
Hon.	Green	Mark Dr		P	TN07	2024	4/7/2024	20024800
Hon.	Green	Mark Dr		P	TN07	2024	5/7/2024	20024954
Hon.	Green	Mark Dr		P	TN07	2024	5/14/2024	20025064
Hon.	Green	Mark Dr		P	TN07	2024	6/12/2024	20025255
	Greene	Clifford Mark		D	WA09	2024	5/16/2024	40003656
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/1/2024	20024924
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/9/2024	20025021
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	5/21/2024	20025108
Hon.	Greene	Marjorie Taylor Mrs		P	GA14	2024	6/27/2024	20025337
	Greene	Shaun Joseph		C	TN07	2024	5/28/2024	10061988
	Greene-Scott	Marquette		C	TX22	2024	2/4/2024	10056705
Hon.	Grothman	Glenn S.		P	WI06	2024	5/14/2024	20025026
	Groves	Ralph		D	FL11	2024	5/14/2024	8220416
	Guarente	Thomas A.		W	TN05	2024	4/11/2024	7926
Hon.	Guest	Michael Patrick		P	MS03	2024	3/12/2024	20024622
	Guinchard	Mary Jo-Ann		C	NJ05	2024	2/20/2024	10056696
	Gulla	Bruno Richard		C	NH02	2024	5/13/2024	10060533
	Gunderson	Matt		X	CA49	2024	5/8/2024	30021022
	Gutmann	Andrew		X	FL22	2024	5/14/2024	30021252
	Hagg	Chad Francis		C	TX25	2024	5/29/2024	10062029
	Halfhill	Adam Scott		C	PA14	2024	4/2/2024	10056954
	Hall	Barbara Harden		D	FL11	2024	2/1/2024	40003594
	Hall	Barbie Harden		C	FL11	2024	6/15/2024	10062282
	Hall	Donyale London		C	DE00	2024	5/15/2024	10061820
	Hall	Stanley Ralph		X	MO01	2024	5/17/2024	30021883
	Hamadeh	Abraham		C	AZ08	2024	5/13/2024	10057706
	Hamilton	Cameron		A	VA07	2024	6/24/2024	10062339
	Hamilton	Cameron		C	VA07	2024	5/15/2024	10061782
	Hamilton	Darren		C	OK03	2024	5/11/2024	10059634
	Hamilton	Michaelangelo Collins		D	FL23	2024	5/15/2024	40003644
	Hamlen	William P.		X	NH02	2024	5/8/2024	30021101
	Hammer	Trygve		C	ND00	2024	5/15/2024	10059187
	Hanks	Ron		C	CO03	2024	5/6/2024	10059816
	Harbaugh	Michael Robert		C	OH10	2024	5/14/2024	10061342
	Harbour	Joanna		C	OR03	2024	5/1/2024	10059545
	Haridopolos	Mike		C	FL08	2024	7/2/2024	10062298
	Haridopolos	Mike		X	FL08	2024	5/14/2024	8220302
	Harrigan	Pat		C	NC10	2024	5/15/2024	10059788
